type.info,,
Fortify 360,http://www.fortify.com,2.5.0,The Fortify importer requires the Fortify FPR format. To export in this format, use the -f filename.fpr option.,
Privilege Management: Unnecessary Permission,Privilege Management: Unnecessary Permission,285
Unreleased Resource: Unmanaged Object(unmanaged_object),Unreleased Resource: Unmanaged Object(unmanaged_object),404
Struts: Unvalidated Action Form,Struts: Unvalidated Action Form,108
Poor Logging Practice: Multiple Loggers,Poor Logging Practice: Multiple Loggers,398
Weak WS-SecurityPolicy: Missing Signature Token,Weak WS-SecurityPolicy: Missing Signature Token,311
Struts: Duplicate Validation Forms,Struts: Duplicate Validation Forms,102
Often Misused: Privilege Management(setuid),Often Misused: Privilege Management(setuid),250
EJB Bad Practices: Use of AWT/Swing,EJB Bad Practices: Use of AWT/Swing,575
Axis 2 Service Requester Misconfiguration: Missing Inbound Encryption,Axis 2 Service Requester Misconfiguration: Missing Inbound Encryption,311
Struts Misconfiguration: Duplicate Form Bean,Struts Misconfiguration: Duplicate Form Bean,694
Code Correctness: Class Does Not Implement Equals,Code Correctness: Class Does Not Implement Equals,398
Axis Misconfiguration: Debug Information,Axis Misconfiguration: Debug Information,215
PHP Misconfiguration: cgi.force_redirect Disabled,PHP Misconfiguration: cgi.force_redirect Disabled,305
Weak XML Schema: Type Any,Weak XML Schema: Type Any,20
Dangerous Type,Dangerous Type,16
Poor Style: Empty Synchronized Block,Poor Style: Empty Synchronized Block,585
Flash Misconfiguration: Overly Permissive Custom Headers Policy,Flash Misconfiguration: Overly Permissive Custom Headers Policy,16
J2EE Misconfiguration: Direct JSP Access,J2EE Misconfiguration: Direct JSP Access,497
Android Bad Practices: Missing Broadcaster Permission,Android Bad Practices: Missing Broadcaster Permission,285
PHP Misconfiguration: magic_quotes_gpc Enabled,PHP Misconfiguration: magic_quotes_gpc Enabled,20
SQL Injection: iBatis Data Map,SQL Injection: iBatis Data Map,89
Dangerous Field,Dangerous Field,16
Password Management: Weak Cryptography,Password Management: Weak Cryptography,261
WCF Misconfiguration: Debug Information,WCF Misconfiguration: Debug Information,215
Cookie Security: Overly Broad Domain,Cookie Security: Overly Broad Domain,16
WebSphere Service Provider Misconfiguration: Outbound WS-Security Not Enabled,WebSphere Service Provider Misconfiguration: Outbound WS-Security Not Enabled,311
Android Bad Practices: Sticky Broadcast,Android Bad Practices: Sticky Broadcast,285
Weak WS-SecurityPolicy: Missing Encryption on Message Attachments,Weak WS-SecurityPolicy: Missing Encryption on Message Attachments,311
Unreleased Resource: Cursor Snarfing,Unreleased Resource: Cursor Snarfing,619
Poor Error Handling: Swallowed ThreadDeath,Poor Error Handling: Swallowed ThreadDeath,691
ASP.NET Bad Practices: Use of Impersonation Context,ASP.NET Bad Practices: Use of Impersonation Context,520
Privilege Management: Overly Broad Grant,Privilege Management: Overly Broad Grant,265
Cookie Security: HTTPOnly not Set on Session Cookie,Cookie Security: HTTPOnly not Set on Session Cookie,16
ASP.NET Misconfiguration: Incomplete Role Protection,ASP.NET Misconfiguration: Incomplete Role Protection,302
Format String: Argument Number Mismatch,Format String: Argument Number Mismatch,126
Unsafe Mobile Code: Inner Class,Unsafe Mobile Code: Inner Class,492
ASP.NET Misconfiguration: ViewStateMac Disabled,ASP.NET Misconfiguration: ViewStateMac Disabled,353
Axis 2 Service Requester Misconfiguration: Weak Token,Axis 2 Service Requester Misconfiguration: Weak Token,311
Privilege Management: Overly Broad Access Specifier,Privilege Management: Overly Broad Access Specifier,265
Often Misused: Authentication,Often Misused: Authentication,247
WebSphere Service Requester Misconfiguration: Missing Outbound Timestamp,WebSphere Service Requester Misconfiguration: Missing Outbound Timestamp,254
Race Condition: Static Database Connection,Race Condition: Static Database Connection,567
WebSphere Misconfiguration: Missing Nonce,WebSphere Misconfiguration: Missing Nonce,254
Insecure Temporary File,Insecure Temporary File,377
Dynamic Code Evaluation: Code Injection,Dynamic Code Evaluation: Code Injection,95
System Information Leak: PHP Version,System Information Leak: PHP Version,497
Privilege Management: Android Disable,Privilege Management: Android Disable,265
Cross-Site Scripting: Poor Validation,Cross-Site Scripting: Poor Validation,82
Build Misconfiguration: External Maven Dependency Repository,Build Misconfiguration: External Maven Dependency Repository,16
Axis 2 Service Provider Misconfiguration: Unsigned Outbound Timestamp,Axis 2 Service Provider Misconfiguration: Unsigned Outbound Timestamp,345
ASP.NET Misconfiguration: Role Protection Disabled,ASP.NET Misconfiguration: Role Protection Disabled,302
Often Misused: File System(readlink),Often Misused: File System(readlink),560
Missing Check for Null Parameter,Missing Check for Null Parameter,398
WebSphere Service Provider Misconfiguration: Unsigned Outbound Timestamp,WebSphere Service Provider Misconfiguration: Unsigned Outbound Timestamp,345
Immutable Classes: Public Mutable Fields,Immutable Classes: Public Mutable Fields,471
Struts Misconfiguration: Invalid Path,Struts Misconfiguration: Invalid Path,16
Dead Code: Unused Field,Dead Code: Unused Field,561
ASP.NET Misconfiguration: Trace Output,ASP.NET Misconfiguration: Trace Output,11
File Disclosure: J2EE,File Disclosure: J2EE,552
Poor Error Handling: Empty Catch Block,Poor Error Handling: Empty Catch Block,391
WebSphere Service Requester Misconfiguration: Weak Token,WebSphere Service Requester Misconfiguration: Weak Token,254
Header Manipulation,Header Manipulation,113
Axis 2 Service Requester Misconfiguration: Missing Outbound Timestamp,Axis 2 Service Requester Misconfiguration: Missing Outbound Timestamp,254
WebSphere Service Provider Misconfiguration: Unsigned Inbound Timestamp,WebSphere Service Provider Misconfiguration: Unsigned Inbound Timestamp,345
ASP.NET Bad Practices: Non-Serializable Object Stored in Session,ASP.NET Bad Practices: Non-Serializable Object Stored in Session,579
Weak Encryption: Insufficient Key Size,Weak Encryption: Insufficient Key Size,310
PHP Misconfiguration: file_uploads Enabled,PHP Misconfiguration: file_uploads Enabled,434
ColdFusion Bad Practices: Leftover Debug Code,ColdFusion Bad Practices: Leftover Debug Code,215
Weak WS-SecurityPolicy: Missing Encryption on Message Body,Weak WS-SecurityPolicy: Missing Encryption on Message Body,311
Weak WS-SecurityPolicy: Tokens Not Protected,Weak WS-SecurityPolicy: Tokens Not Protected,254
File Disclosure: Struts,File Disclosure: Struts,552
System Information Leak: PHP Errors,System Information Leak: PHP Errors,497
SQL Injection: Persistence,SQL Injection: Persistence,89
Dead Code: Empty Try Block,Dead Code: Empty Try Block,561
Poor Style: Confusing Naming,Poor Style: Confusing Naming,398
Castor Bad Practices: Unspecified Query Mode,Castor Bad Practices: Unspecified Query Mode,265
Code Correctness: Call to sleep() in Lock,Code Correctness: Call to sleep() in Lock,557
Axis 2 Service Provider Misconfiguration: Missing Inbound Signature,Axis 2 Service Provider Misconfiguration: Missing Inbound Signature,345
PHP Misconfiguration: register_globals Enabled,PHP Misconfiguration: register_globals Enabled,473
Missing Check against Null,Missing Check against Null,690
PHP Misconfiguration: allow_url_fopen Enabled,PHP Misconfiguration: allow_url_fopen Enabled,94
WebSphere Service Provider Misconfiguration: Missing Inbound Encryption,WebSphere Service Provider Misconfiguration: Missing Inbound Encryption,311
WebSphere Service Requester Misconfiguration: Missing Outbound Signature,WebSphere Service Requester Misconfiguration: Missing Outbound Signature,345
Unreleased Resource: Database,Unreleased Resource: Database,404
Type Mismatch: Integer to Character,Type Mismatch: Integer to Character,398
Often Misused: File Upload,Often Misused: File Upload,434
System Information Leak: Missing Catch Block,System Information Leak: Missing Catch Block,497
Insecure Manifest,Insecure Manifest,16
SQL Bad Practices: Underspecified Identifier,SQL Bad Practices: Underspecified Identifier,16
System Information Leak: Incomplete Servlet Error Handling,System Information Leak: Incomplete Servlet Error Handling,431
Axis 2 Misconfiguration: Debug Information,Axis 2 Misconfiguration: Debug Information,215
Weak WS-SecurityPolicy: Missing Signature on Message Headers,Weak WS-SecurityPolicy: Missing Signature on Message Headers,311
Insecure Compiler Optimization,Insecure Compiler Optimization,14
Redundant Null Check,Redundant Null Check,476
Log Forging,Log Forging,117
Weak Cryptographic Hash: Hardcoded Salt,Weak Cryptographic Hash: Hardcoded Salt,326
J2EE Misconfiguration: Excessive Servlet Mappings,J2EE Misconfiguration: Excessive Servlet Mappings,398
Weak WS-SecurityPolicy: Missing Recipient Signature Token,Weak WS-SecurityPolicy: Missing Recipient Signature Token,254
Access Control: Database,Access Control: Database,566
Privilege Management: Android Telephony,Privilege Management: Android Telephony,265
Dangerous File Inclusion,Dangerous File Inclusion,94
Buffer Overflow: Format String (%f/%F),Buffer Overflow: Format String (%f/%F),787
J2EE Bad Practices: System.exit,J2EE Bad Practices: System.exit,382
Path Manipulation,Path Manipulation,22
J2EE Misconfiguration: Missing Servlet Mapping,J2EE Misconfiguration: Missing Servlet Mapping,730
Weak Cryptographic Hash,Weak Cryptographic Hash,310
Struts Misconfiguration: Missing Form Bean,Struts Misconfiguration: Missing Form Bean,16
Code Correctness: Function Not Invoked,Code Correctness: Function Not Invoked,398
Code Correctness: Class Does Not Implement Cloneable,Code Correctness: Class Does Not Implement Cloneable,498
Android Bad Practices: Provider permission Defined,Android Bad Practices: Provider permission Defined,285
WebSphere Service Provider Misconfiguration: Missing Timestamp Expiration,WebSphere Service Provider Misconfiguration: Missing Timestamp Expiration,254
Race Condition: Singleton Member Field,Race Condition: Singleton Member Field,362
Weak WS-SecurityPolicy: Missing Timestamp,Weak WS-SecurityPolicy: Missing Timestamp,254
WebSphere Service Provider Misconfiguration: Inbound WS-Security Not Enabled,WebSphere Service Provider Misconfiguration: Inbound WS-Security Not Enabled,311
System Information Leak: HTML Comment in JSP,System Information Leak: HTML Comment in JSP,615
SQL Injection: NHibernate,SQL Injection: NHibernate,89
Struts: Validator Without Form Field,Struts: Validator Without Form Field,110
Flash Misconfiguration: Overly Permissive Cross-Domain Policy,Flash Misconfiguration: Overly Permissive Cross-Domain Policy,16
Code Correctness: Call to Thread.run(),Code Correctness: Call to Thread.run(),572
Weak SecurityManager Check: Overridable Method,Weak SecurityManager Check: Overridable Method,358
Axis 2 Misconfiguration: Insecure Transport Sender,Axis 2 Misconfiguration: Insecure Transport Sender,311
Access Control: LDAP,Access Control: LDAP,639
J2EE Misconfiguration: Missing Filter Definition,J2EE Misconfiguration: Missing Filter Definition,730
Missing SecurityManager Check: Cloneable,Missing SecurityManager Check: Cloneable,358
Process Control,Process Control,114
EJB Bad Practices: Use of java.io,EJB Bad Practices: Use of java.io,576
CakePHP Misconfiguration: Debug Information,CakePHP Misconfiguration: Debug Information,215
Insecure Randomness,Insecure Randomness,330
Cross-Session Contamination,Cross-Session Contamination,501
Axis Service Requester Misconfiguration: Plain Text Password,Axis Service Requester Misconfiguration: Plain Text Password,522
Code Correctness: Premature Thread Termination,Code Correctness: Premature Thread Termination,730
Axis 2 Service Requester Misconfiguration: Unsigned Outbound Timestamp,Axis 2 Service Requester Misconfiguration: Unsigned Outbound Timestamp,345
HTTP Verb Tampering,HTTP Verb Tampering,288
WebSphere Service Provider Misconfiguration: Missing Outbound Timestamp,WebSphere Service Provider Misconfiguration: Missing Outbound Timestamp,254
Code Correctness: Memory Free on Stack Variable,Code Correctness: Memory Free on Stack Variable,730
Weak WS-SecurityPolicy: Missing Encryption on Message Headers,Weak WS-SecurityPolicy: Missing Encryption on Message Headers,311
Password Management: Weak Redundancy,Password Management: Weak Redundancy,521
Code Correctness: Arithmetic Operation on Boolean,Code Correctness: Arithmetic Operation on Boolean,398
Access Control: MQ,Access Control: MQ,639
Code Correctness: toString on Array,Code Correctness: toString on Array,398
Missing XML Validation: Untyped Response,Missing XML Validation: Untyped Response,112
Code Correctness: Erroneous finalize() Method,Code Correctness: Erroneous finalize() Method,568
Cookie Security: Overly Broad Session Cookie Domain,Cookie Security: Overly Broad Session Cookie Domain,16
Often Misused: Strings(_mbs),Often Misused: Strings(_mbs),251
Cookie Security: Session Cookie not Sent Over SSL,Cookie Security: Session Cookie not Sent Over SSL,16
J2EE Misconfiguration: Duplicate Security Role,J2EE Misconfiguration: Duplicate Security Role,398
SQL Injection: Castle ActiveRecord,SQL Injection: Castle ActiveRecord,89
Axis 2 Service Provider Misconfiguration: Outbound WS-Security Not Enabled,Axis 2 Service Provider Misconfiguration: Outbound WS-Security Not Enabled,319
Struts Misconfiguration: Missing Forward Name,Struts Misconfiguration: Missing Forward Name,16
Missing XML Validation(validating_reader),Missing XML Validation(validating_reader),112
ASP.NET Misconfiguration: Certificate Validation Disabled,ASP.NET Misconfiguration: Certificate Validation Disabled,296
System Information Leak: Database,System Information Leak: Database,497
Code Correctness: Erroneous Zero Value,Code Correctness: Erroneous Zero Value,20
ASP.NET Misconfiguration: Request Validation Disabled,ASP.NET Misconfiguration: Request Validation Disabled,554
Struts 2: Action Field Without Validator,Struts 2: Action Field Without Validator,101
Cross-Site Scripting: Reflected,Cross-Site Scripting: Reflected,79
Illegal Pointer Value,Illegal Pointer Value,119
Dead Code: Expression is Always false,Dead Code: Expression is Always false,570
Code Correctness: Erroneous Synchronization,Code Correctness: Erroneous Synchronization,373
Dangerous Method,Dangerous Method,16
ASP.NET Bad Practices: Leftover Debug Code,ASP.NET Bad Practices: Leftover Debug Code,489
WSE Misconfiguration: Missing Authorization,WSE Misconfiguration: Missing Authorization,285
PHP Misconfiguration: allow_url_include Enabled,PHP Misconfiguration: allow_url_include Enabled,94
Dead Code: Unused Method,Dead Code: Unused Method,561
Cookie Security: Overly Broad Path,Cookie Security: Overly Broad Path,16
Weak XML Schema: Lax Processing,Weak XML Schema: Lax Processing,20
Value Shadowing,Value Shadowing,592
type.severities,,,
Low,Low,1,1
Medium,Medium,2,2
High,High,3,3
Critical,Critical,4,4
2.0,Info,1,1
3.0,Warning,2,2
4.0,Hot,3,3
